evcode,relocated_latitude,relocated_longitude,relocated_time,max_cc,eff_nstations,Ms_BB,detected_time,detected_latitude,detected_longitude,quality_group,usgs_event,poli_event,csf_az,csf_amp
201303281551,-75.05,-107.46,2013-03-28T15:51:03.000000Z,0.79,5.16,2.76,2013-03-28T15:51:10.000000Z,-75.09,-107.88,C,False,True,-160.00,500408123361.30
201303281606,-75.41,-107.72,2013-03-28T16:06:25.000000Z,0.81,6.34,2.86,2013-03-28T16:06:20.000000Z,-75.09,-107.88,C,False,True,-18.00,440962870105.03
201305091712,-74.76,-107.56,2013-05-09T17:12:26.000000Z,0.75,4.93,3.05,2013-05-09T17:12:42.000000Z,-75.09,-107.88,B,False,False,162.00,793140929990.31
201305091831,-75.20,-107.37,2013-05-09T18:31:56.000000Z,0.91,5.92,2.78,2013-05-09T18:31:58.000000Z,-75.09,-107.88,A,False,False,,
201305221224,-74.89,-99.15,2013-05-22T12:24:45.000000Z,0.81,5.64,2.71,2013-05-22T12:24:44.000000Z,-74.73,-98.62,C,False,False,-96.00,668753070660.81
201305251746,-75.40,-106.39,2013-05-25T17:46:05.000000Z,0.79,5.87,2.44,2013-05-25T17:46:06.000000Z,-75.22,-106.19,C,False,False,,
201305281853,-75.37,-106.82,2013-05-28T18:53:23.000000Z,0.82,5.57,2.08,2013-05-28T18:53:24.000000Z,-75.22,-106.19,C,False,False,,
201305291704,-75.37,-106.45,2013-05-29T17:04:16.000000Z,0.82,3.81,2.26,2013-05-29T17:04:14.000000Z,-75.22,-106.19,C,False,False,,
201305292328,-75.54,-106.08,2013-05-29T23:27:53.000000Z,0.80,6.45,2.59,2013-05-29T23:28:00.000000Z,-75.66,-106.70,B,False,False,-16.00,567787465352.55
201306060456,-75.30,-107.02,2013-06-06T04:56:04.000000Z,0.79,6.08,2.41,2013-06-06T04:56:06.000000Z,-75.22,-106.19,C,False,False,,
201306171541,-75.50,-106.32,2013-06-17T15:41:00.000000Z,0.86,7.06,2.79,2013-06-17T15:41:08.000000Z,-75.66,-106.70,A,False,False,-12.00,644144616277.32
201306212133,-74.85,-99.04,2013-06-21T21:33:02.000000Z,0.79,5.39,2.68,2013-06-21T21:33:02.000000Z,-74.73,-98.62,B,False,False,,
201306301623,-75.11,-107.63,2013-06-30T16:23:53.000000Z,0.70,5.59,2.42,2013-06-30T16:23:40.000000Z,-74.52,-108.97,C,False,False,,
201307062159,-75.46,-106.47,2013-07-06T21:59:35.000000Z,0.81,6.34,2.55,2013-07-06T21:59:34.000000Z,-75.22,-106.19,C,False,False,-4.00,305433444276.13
201308140914,-75.25,-107.70,2013-08-14T09:14:34.000000Z,0.92,5.35,2.30,2013-08-14T09:14:36.000000Z,-75.09,-107.88,A,False,False,,
201308201745,-75.19,-107.54,2013-08-20T17:45:08.000000Z,0.87,5.23,2.46,2013-08-20T17:45:10.000000Z,-75.09,-107.88,A,False,False,,
201308221002,-77.55,167.45,2013-08-22T10:02:57.000000Z,0.79,5.34,1.97,2013-08-22T10:02:56.000000Z,-77.41,169.51,A,False,False,,
201309031457,-75.38,-108.72,2013-09-03T14:57:10.000000Z,0.72,5.89,2.14,2013-09-03T14:57:08.000000Z,-75.09,-107.88,C,False,False,,
201309100607,-75.47,-106.09,2013-09-10T06:07:13.000000Z,0.82,5.65,1.88,2013-09-10T06:07:22.000000Z,-75.66,-106.70,C,False,False,172.00,151496861862.16
201309110837,-75.34,-104.47,2013-09-11T08:37:42.000000Z,0.75,5.02,1.79,2013-09-11T08:37:46.000000Z,-75.34,-104.47,C,False,False,,
